id_wikidata	materia
Q159905	Comunicación y sociedad
Q16	Geografía
Q160077	Historia
Q160091	Geografía
Q160149	Comunicación visual y diseño
Q160151	Comunicación y sociedad
Q16021	Matemática
Q160362	Comunicación y sociedad
Q160460	Comunicación y sociedad
Q160538	Comunicación visual y diseño
Q1605411	Historia
Q160590	Comunicación y sociedad
Q160710	Ciencias de la computación
Q1610116	Historia
Q161064	Química
Q16110	Comunicación y sociedad
Q1612119	Biología
Q161254	Física
Q161462	Física
Q161519	Matemática
Q161549	Historia
Q161635	Física
Q16166477	Literatura
Q161736	Lengua española
Q1618027	Literatura
Q161859	Historia
Q161933	Literatura
Q1621273	Química
Q162145	Comunicación y sociedad
Q162167	Ciencias del ambiente
Q162219	Ciencias del ambiente
Q162297	Historia
Q162362	Historia
Q162378	Lengua española
Q162401	Historia
Q162643	Biología
Q162657	Biología
Q16266320	Literatura
Q162668	Biología
Q162908	Química
Q1632269	Literatura
Q16323364	Literatura
Q163310	Ciencias de la computación
Q163740	Comunicación y sociedad
Q1638370	Literatura
Q163891	Historia
Q16399	Biología
Q164	Matemática
Q1641089	Comunicación y sociedad
Q164321	Matemática
Q164348	Historia
Q16438	Literatura
Q1645075	Biología
Q1645406	Matemática
Q164573	Lengua española
Q16482934	Comunicación y sociedad
Q165	Ciencias del ambiente
Q165005	Historia
Q165301	Matemática
Q165309	Matemática
Q16531303	Ciencias del ambiente
Q165425	Historia
Q16543336	Lengua española
Q165474	Matemática
Q165534	Literatura
Q165589	Comunicación y sociedad
Q1656724	Comunicación visual y diseño
Q165725	Historia
Q16577084	Comunicación y sociedad
Q165848	Ciencias del ambiente
Q16592298	Matemática
Q165939	Física
Q16605989	Comunicación y sociedad
Q166092	Historia
Q166154	Matemática
Q16619154	Literatura
Q166224	Historia
Q166231	Biología
Q166234	Literatura
Q1664027	Ciencias del ambiente
Q16656295	Comunicación visual y diseño
Q166564	Ciencias del ambiente
Q166656	Comunicación y sociedad
Q166764	Lengua española
Q166955	Comunicación y sociedad
Q167	Matemática
Q167198	Química
Q167287	Ciencias del ambiente
Q167336	Biología
Q167466	Geografía
Q1675084	Historia
Q167751	Biología
Q167903	Ciencias del ambiente
Q16817	Ciencias del ambiente
Q168182	Historia
Q168210	Ciencias de la computación
Q168691	Historia
Q168962	Literatura
Q169243	Comunicación y sociedad
Q169324	Biología
Q169336	Química
Q169759	Historia
Q169953	Biología
Q17	Geografía
Q170008	Matemática
Q170058	Matemática
Q170075	Comunicación y sociedad
Q170130	Ciencias de la computación
Q170153	Historia
Q170161	Historia
Q170181	Matemática
Q170196	Ciencias del ambiente
Q170239	Lengua española
Q170321	Ciencias del ambiente
Q170332	Ciencias del ambiente
Q170350	Ciencias del ambiente
Q1703635	Biología
Q170409	Química
Q170430	Ciencias del ambiente
Q170472	Comunicación y sociedad
Q170519	Ciencias de la computación
Q170541	Historia
Q170731	Química
Q170744	Química
Q170749	Física
Q170770	Historia
Q171	Ciencias de la computación
Q1710033	Comunicación y sociedad
Q171043	Historia
Q171407	Química
Q17161	Historia
Q17167	Historia
Q171677	Comunicación y sociedad
Q17169	Comunicación visual y diseño
Q1717246	Comunicación y sociedad
Q172008	Lengua española
Q172048	Literatura
Q172280	Química
Q172579	Historia
Q172599	Literatura
Q172771	Historia
Q17278	Matemática
Q17285	Matemática
Q172881	Física
Q172948	Química
Q172991	Historia
Q173100	Historia
Q173183	Ciencias de la computación
Q173212	Ciencias de la computación
Q173285	Ciencias de la computación
Q173523	Matemática
Q173527	Comunicación visual y diseño
Q173710	Biología
Q173817	Matemática
Q174211	Química
Q174306	Historia
Q174330	Comunicación visual y diseño
Q174361	Historia
Q174565	Lengua española
Q174728	Matemática
Q1747618	Comunicación visual y diseño
Q1747853	Ciencias de la computación
Q174929	Comunicación y sociedad
Q174948	Ciencias de la computación
Q174989	Ciencias de la computación
Q175036	Comunicación visual y diseño
Q17514	Comunicación visual y diseño
Q1753097	Ciencias de la computación
Q1753902	Literatura
Q1754072	Literatura
Q1754940	Historia
Q175582	Historia
Q175974	Química
Q176165	Ciencias de la computación
Q17628883	Matemática
Q176483	Comunicación visual y diseño
Q1765465	Historia
Q1765801	Comunicación y sociedad
Q1766450	Literatura
Q1768303	Literatura
Q177051	Matemática
Q177239	Matemática
Q177302	Comunicación visual y diseño
Q177449	Lengua española
Q1775415	Lengua española
